omega(2205) 9080223
rho(2265) 9070113
rho(2280) 9080113
X(2290) 9190223
omega(2330) 9090223
Delta- 1114
anti-Delta+ -1114
n_diffr 2110
anti-n_diffr -2110
n0 2112
anti-n0 -2112
Delta0 2114
anti-Delta0 -2114
p_diff+ 2210
anti-p_diff- -2210
p+ 2212
anti-p- -2212
Delta+ 2214
anti-Delta- -2214
Delta++ 2224
anti-Delta-- -2224
Sigma- 3112
anti-Sigma+ -3112
Sigma*- 3114
anti-Sigma*+ -3114
Lambda0 3122
anti-Lambda0 -3122
Lambda(1405)0 13122
anti-Lambda(1405)0 -13122
Lambda(1520)0 3124
anti-Lambda(1520)0 -3124
Lambda(1600)0 23122
anti-Lambda(1600)0 -23122
Lambda(1670)0 33122
anti-Lambda(1670)0 -33122
Lambda(1690)0 13124
anti-Lambda(1690)0 -13124
Lambda(1800)0 43122
anti-Lambda(1800)0 -43122
Lambda(1810)0 53122
anti-Lambda(1810)0 -53122
Lambda(1820)0 3126
anti-Lambda(1820)0 -3126
Lambda(1830)0 13126
anti-Lambda(1830)0 -13126
Sigma(1660)0 13212
anti-Sigma(1660)0 -13212
Sigma(1670)0 13214
anti-Sigma(1670)0 -13214
Sigma(1750)0 23212
anti-Sigma(1750)0 -23212
Sigma(1775)0 3216
anti-Sigma(1775)0 -3216
Sigma0 3212
anti-Sigma0 -3212
Sigma*0 3214
anti-Sigma*0 -3214
Sigma+ 3222
anti-Sigma- -3222
Sigma*+ 3224
anti-Sigma*- -3224
Xi- 3312
anti-Xi+ -3312
Xi*- 3314
anti-Xi*+ -3314
Xi0 3322
anti-Xi0 -3322
Xi*0 3324
anti-Xi*0 -3324
Omega- 3334
anti-Omega+ -3334
Lambda_c(2593)+ 14122
anti-Lambda_c(2593)- -14122
Lambda_c(2625)+ 14124
anti-Lambda_c(2625)- -14124
Sigma_c0 4112
anti-Sigma_c0 -4112
Sigma_c*0 4114
anti-Sigma_c*0 -4114
Sigma_c+ 4212
anti-Sigma_c- -4212
Sigma_c*+ 4214
anti-Sigma_c*- -4214
Sigma_c++ 4222
anti-Sigma_c-- -4222
Sigma_c*++ 4224
anti-Sigma_c*-- -4224
Xi'_c0 4312
anti-Xi'_c0 -4312
Xi'_c+ 4322
anti-Xi'_c- -4322
Xi_c*+ 4324
anti-Xi_c*- -4324
Lambda_c+ 4122
anti-Lambda_c- -4122
Xi_c0 4132
anti-Xi_c0 -4132
Xi_c+ 4232
anti-Xi_c- -4232
Xi_c*0 4314
anti-Xi_c*0 -4314
Lambda_c(2765)+ 24122
anti-Lambda_c(2765)- -24122
Lambda_c(2880)+ 24124
anti-Lambda_c(2880)- -24124
Lambda_c(2925)+ 34122
anti-Lambda_c(2925)- -34122
Lambda_c(2975)+ 34124
anti-Lambda_c(2975)- -34124
Sigma_c(2795)0 14112
anti-Sigma_c(2795)0 -14112
Sigma_c(2850)0 14114
anti-Sigma_c(2850)0 -14114
Sigma_c(2795)+ 14212
anti-Sigma_c(2795)- -14212
Sigma_c(2850)+ 14214
anti-Sigma_c(2850)- -14214
Sigma_c(2795)++ 14222
anti-Sigma_c(2795)-- -14222
Sigma_c(2850)++ 14224
anti-Sigma_c(2850)-- -14224
Xi_c(2790)0 14132
anti-Xi_c(2790)0 -14132
Xi_c(2790)+ 14232
anti-Xi_c(2790)- -14232
Xi_c(2815)0 14134
anti-Xi_c(2815)0 -14134
Xi_c(2815)+ 14234
anti-Xi_c(2815)- -14234
Xi_c(2900)0 14312
anti-Xi_c(2900)0 -14312
Xi_c(2900)+ 14322
anti-Xi_c(2900)- -14322
Xi_c(2950)0 14314
anti-Xi_c(2950)0 -14314
Xi_c(2950)+ 14324
anti-Xi_c(2950)- -14324
Xi_cc+ 4412
anti-Xi_cc- -4412
Xi_cc++ 4422
anti-Xi_cc-- -4422
Omega_cc+ 4432
anti-Omega_cc- -4432
Xi_cc*+ 4414
anti-Xi_cc*- -4414
Xi_cc*++ 4424
anti-Xi_cc*-- -4424
Omega_cc*+ 4434
anti-Omega_cc*- -4434
Omega_c0 4332
anti-Omega_c0 -4332
Omega_c*0 4334
anti-Omega_c*0 -4334
Omega_c(2850)0 14332
anti-Omega_c(2850)0 -14332
Omega_c(2900)0 14334
anti-Omega_c(2900)0 -14334
Sigma_b- 5112
anti-Sigma_b+ -5112
Sigma_b*- 5114
anti-Sigma_b*+ -5114
Lambda_b0 5122
anti-Lambda_b0 -5122
Xi_b- 5132
anti-Xi_b+ -5132
Sigma_b0 5212
anti-Sigma_b0 -5212
Sigma_b*0 5214
anti-Sigma_b*0 -5214
Sigma_b+ 5222
anti-Sigma_b- -5222
Sigma_b*+ 5224
anti-Sigma_b*- -5224
Xi_b0 5232
anti-Xi_b0 -5232
Xi'_b- 5312
anti-Xi'_b+ -5312
Xi_b*- 5314
anti-Xi_b*+ -5314
Xi'_b0 5322
anti-Xi'_b0 -5322
Xi_b*0 5324
anti-Xi_b*0 -5324
Omega_b- 5332
anti-Omega_b+ -5332
Omega_b*- 5334
anti-Omega_b*+ -5334
dd_0 1101
anti-dd_0 -1101
ud_0 2101
anti-ud_0 -2101
uu_0 2201
anti-uu_0 -2201
sd_0 3101
anti-sd_0 -3101
su_0 3201
anti-su_0 -3201
ss_0 3301
anti-ss_0 -3301
cd_0 4101
anti-cd_0 -4101
cu_0 4201
anti-cu_0 -4201
cs_0 4301
anti-cs_0 -4301
cc_0 4401
anti-cc_0 -4401
bd_0 5101
anti-bd_0 -5101
bu_0 5201
anti-bu_0 -5201
bs_0 5301
anti-bs_0 -5301
bc_0 5401
anti-bc_0 -5401
bb_0 5501
anti-bb_0 -5501
dd_1 1103
anti-dd_1 -1103
ud_1 2103
anti-ud_1 -2103
uu_1 2203
anti-uu_1 -2203
sd_1 3103
anti-sd_1 -3103
su_1 3203
anti-su_1 -3203
ss_1 3303
anti-ss_1 -3303
cd_1 4103
anti-cd_1 -4103
cu_1 4203
anti-cu_1 -4203
cs_1 4303
anti-cs_1 -4303
cc_1 4403
anti-cc_1 -4403
bd_1 5103
anti-bd_1 -5103
bu_1 5203
anti-bu_1 -5203
bs_1 5303
anti-bs_1 -5303
bc_1 5403
anti-bc_1 -5403
bb_1 5503
anti-bb_1 -5503
deuteron 1011
anti-deuteron -1011
tritium 1021
anti-tritium -1021
He3 1012
anti-He3 -1012
alpha 1022
anti-alpha -1022
geantino 100
chargedgeantino 101
Xsd 30343
anti-Xsd -30343
Xsu 30353
anti-Xsu -30353
Xdd 30373
anti-Xdd -30373
Xdu 30383
anti-Xdu -30383
Xss 30363
anti-Xss -30363
dummy00_1 51
dummy10_1 52
dummy01_1 53
dummy11_1 54
anti-dummy00_1 -51
anti-dummy10_1 -52
anti-dummy01_1 -53
anti-dummy11_1 -54
dummy00_2 55
dummy10_2 56
dummy01_2 57
dummy11_2 58
anti-dummy00_2 -55
anti-dummy10_2 -56
anti-dummy01_2 -57
anti-dummy11_2 -58
